Location,Staff Quarter,Table Name,24X7Security,AC,Area,ATM,BED,Cafeteria,Car Parking,Children'splayarea,Club House,Dining Table,Gasconnection,Golf Course,Gymnasium,Hospital,Indoor Games,Intercom,Jogging Track,Landscaped Gardens,Lift Available,Maintenance Staff,Microwave,Multipurpose Room,No. of Bedrooms,Power Backup,Price,Rain Water Harvesting,Refrigerator,Resale,School,Shopping Mall,Sofa,Sports Facility,Swimming Pool,TV,Vaastu Compliant,Wardrobe,Washing Machine,Wifi
JP Nagar Phase 1,0,Bangalore.csv,1,0,3340,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,4,1,30000000,1,0,0,0,0,0,1,1,0,0,0,0,0
Dasarahalli on Tumkur Road,0,Bangalore.csv,1,0,1045,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,7888000,1,0,0,0,0,0,1,1,0,1,0,0,0
Kannur on Thanisandra Main Road,0,Bangalore.csv,1,0,1179,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,4866000,1,0,0,0,0,0,0,1,0,0,0,0,0
Doddanekundi,0,Bangalore.csv,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,8358000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kengeri,0,Bangalore.csv,1,0,1670,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,3,1,6845000,1,0,0,0,0,0,1,1,0,0,0,0,0
Horamavu,0,Bangalore.csv,1,0,1220,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,6797000,1,0,0,0,0,0,1,1,0,0,0,0,0
Thanisandra,0,Bangalore.csv,1,0,2502,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,4,1,20000000,0,0,0,0,0,0,0,1,0,1,0,0,0
Ramamurthy Nagar,0,Bangalore.csv,1,0,1438,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,7105000,1,0,0,0,0,0,0,0,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1405,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,1,8405000,1,0,0,0,0,0,0,1,0,1,0,0,0
Electronic City Phase 1,0,Bangalore.csv,1,0,660,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,3506000,1,0,0,0,1,0,0,1,0,0,0,0,0
Yelahanka,1,Bangalore.csv,1,0,1362,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,7700000,1,0,0,0,0,0,0,1,0,1,0,0,0
Anjanapura,0,Bangalore.csv,1,0,1735,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,9369000,1,0,0,0,0,0,1,1,0,1,0,0,0
Jalahalli,0,Bangalore.csv,1,0,1575,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,0,8716000,1,0,0,1,1,0,0,1,0,0,0,0,0
Kasavanahalli,0,Bangalore.csv,0,0,1120,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,5394000,0,0,0,0,0,0,0,1,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,0,0,1415,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,1,6367000,1,0,0,0,0,0,0,1,0,0,0,0,0
Bommasandra,0,Bangalore.csv,1,0,1270,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,5080000,1,0,0,0,0,0,0,1,0,0,0,0,0
Bellandur,1,Bangalore.csv,1,0,1311,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,7209999,1,0,0,0,0,0,0,1,0,1,0,0,0
